million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
flash,"n. 闪光，闪现；一瞬间
adj. 闪光的，火速的
vt. 使闪光；反射
vi. 闪光，闪现；反射"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
core,
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地"
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
slavery,n. 奴役；奴隶制度；奴隶身份
obesity,n. 肥大，肥胖
emphasis,n. 重点；强调；加强语气
linguist,"n. 语言学家
学多种外语的人"
feedback,n. 反馈；成果，资料；回复
landowner,n. 地主，土地所有者
townsfolk,n. 市民；镇民
committee,n. 委员会
creativity,n. 创造力；创造性
governance,n. 管理；统治；支配
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
prediction,n. 预报；预言
suggestion,n. 建议；示意；微量，细微的迹象
capability,n. 才能，能力；性能，容量
preference,n. 偏爱，倾向；优先权
adolescence,n. 青春期
philosopher,n. 哲学家；哲人
immigration,n. 外来移民；移居
credibility,n. 可信性；确实性
flexibility,n. 灵活性；弹性；适应性
hospitality,n. 好客；殷勤
manufacturer,n. 制造商； 厂商
indifference,n. 漠不关心；冷淡；不重视；中立
fulfilment,n. 实现；成就
fulfillment,n. 履行；实行
anthropologist,n. 人类学家；人类学者
intellectualism,n. 理智主义，知性主义
environmentalist,n. 环保人士；环境论者；研究环境问题的专家
professionalisation, 职业化；专业化过程；职业化阶段
specialisation,n. 特殊化，专门化，特化作用
specialization,n. 专门化；特殊化；特化作用
leakage,n. 泄漏；渗漏物；漏出量
instance,"n. 实例；情况；建议
vt. 举...为例"
wildfire,n. 火灾；磷火，鬼火；散布极快的事物
downturn,n. 衰退（经济方面）；低迷时期
reduction,n. 减少；下降；缩小；还原反应
statistic,"n. 统计数值
adj. 统计的，统计学的"
extension,n. 延长；延期；扩大；伸展；电话分机
commodity,n. 商品，货物；日用品
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
indicator,n. 指示器； 指示剂； 指示符；压力计
psychology,n. 心理学；心理状态
revolution,n. 革命；旋转；运行；循环
competitor,n. 竞争者，对手
automation,n. 自动化；自动操作
explanation,n. 说明，解释；辩解
distraction,n. 注意力分散；消遣；心烦意乱
significance,n. 意义；重要性；意思
biodiversity,n. 生物多样性
advertisement,n. 广告，宣传
ad,n. 公元；广告（ad）
trait,n. 特性，特点；品质；少许
embryo,"n.  胚胎；胚芽；初期
adj. 胚胎的；初期的"
habitat,n.  栖息地，产地
element,n. 元素；要素；原理；成分；自然环境
analysis,n. 分析；分解；验定
criterion,n. （批评判断的）标准；准则；规范；准据
intuition,n. 直觉；直觉力；直觉的知识
invention,n. 发明；发明物；虚构；发明才能
migration,n. 迁移；移民；移动
definition,n. 定义； 清晰度；解说
popularity,n. 普及，流行；名气；受大众欢迎
inequality,n. 不平等；不同；不平均
percentage,n. 百分比；百分率，百分数
prosperity,n. 繁荣，成功
cooperation,n. 合作，协作； 协力
improvement,n. 改进，改善；提高
agriculture,n. 农业；农耕；农业生产；农艺，农学
correlation,n.  相关，关联；相互关系
counterpart,n. 副本；配对物；极相似的人或物
collaboration,n. 合作；勾结；通敌
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
mislead,vt. 误导；带错
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
imitate,vt. 模仿，仿效；仿造，仿制
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
restrict,vt. 限制；约束；限定
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
dedicate,vt. 致力；献身；题献
underlie,vt. 成为……的基础；位于……之下
memorize,vt. 记住，背熟；记忆
eliminate,vt. 消除；排除
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
accomplish,vt. 完成；实现；达到
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
analyse,vt. 分析；分解；细察
analyze,vt. 对…进行分析，分解（等于analyse）
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
standardize,vt. 使标准化；用标准检验
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
tolerant,adj. 宽容的；容忍的；有耐药力的
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
efficient,adj. 有效率的；有能力的；生效的
excessive,adj. 过多的，极度的；过分的
long-term,"adj. 长期的
从长远来看"
intuitive,adj. 直觉的；凭直觉获知的
prosocial,adj. 亲社会的；忠实于既定社会道德准则的
additional,adj. 附加的，额外的
attractive,adj. 吸引人的；有魅力的；引人注目的
geological,adj. 地质的，地质学的
sufficient,adj. 足够的；充分的
affordable,adj. 负担得起的
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
acceptable,adj. 可接受的；合意的；可忍受的
conceptual,adj. 概念上的
inadequate,adj. 不充分的，不适当的
overweight,"adj. 超重的；过重的
vt. 使负担过重
n. 超重"
provincial,"n. 粗野的人；乡下人；外地人
adj. 省的；地方性的；偏狭的"
rebellious,adj. 反抗的；造反的；难控制的
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
involuntary,adj. 无意识的；自然而然的；不知不觉的
agricultural,adj. 农业的；农艺的
analytic,adj. 分析的；解析的；善于分析的
analytical,adj. 分析的；解析的；善于分析的
regenerative,adj. 再生的，更生的；更新的
environmental,adj. 环境的，周围的；有关环境的
technological,adj. 技术的；工艺的
behavioral,adj. 行为的
behavioural,adj. 行为的；动作的
completely,adv. 完全地，彻底地；完整地
eventually,adv. 最后，终于
relatively,adv. 相当地；相对地，比较地
frequently,adv. 频繁地，经常地；时常，屡次
previously,adv. 以前；预先；仓促地
inevitably,adv. 不可避免地；必然地
inherently,adv. 内在地；固有地；天性地
necessarily,adv. 必要地；必定地，必然地
furthermore,adv. 此外；而且
temporarily,adv. 临时地，临时
consistently,adv. 一贯地；一致地；坚实地
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
occasionally,adv. 偶尔；间或
traditionally,adv. 传统上；习惯上；传说上
independently,adv. 独立地；自立地
alphabetically,adv. 照字母顺序排列地
citizen,n. 公民；市民；老百姓
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
judgment,n. 判断；裁判；判决书；辨别力
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
property,n. 性质，性能；财产；所有权
sympathy,n. 同情；慰问；赞同
emission,n. （光、热等的）发射，散发；喷射；发行
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
ideology,n. 意识形态；思想意识；观念学
paycheck,n. 付薪水的支票，薪水
tendency,n. 倾向，趋势；癖好
technique,n. 技巧，技术；手法
authority,n. 权威；权力；当局
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
procedure,n. 程序，手续；步骤
democracy,n. 民主，民主主义；民主政治
candidate,n. 候选人，候补者；应试者
diversity,n. 多样性；差异
promotion,n. 提升， 晋升；推销，促销；促进；发扬，振兴
assumption,n. 假定；设想；担任；采取
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
protection,n. 保护；防卫；护照
convention,n. 大会； 惯例； 约定； 协定；习俗
innovation,n. 创新，革新；新方法
opposition,n. 反对；反对派；在野党；敌对
collection,n. 采集，聚集； 征收；收藏品；募捐
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
literature,n. 文学；文献；文艺；著作
perception,n. 知觉； 感觉；看法；洞察力；获取
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
profession,n. 职业，专业；声明，宣布，表白
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
assessment,n. 评定；估价
atmosphere,n. 气氛；大气；空气
commitment,n. 承诺，保证；委托；承担义务；献身
philosophy,n. 哲学；哲理；人生观
politician,n. 政治家，政客
expectation,n. 期待；预期；指望
interaction,"n. 相互作用； 交互作用
n. 互动"
performance,n. 性能；绩效；表演；执行；表现
acquisition,n. 获得物，获得；收购
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
legislation,n. 立法；法律
personality,n. 个性；品格；名人
application,n. 应用；申请；应用程序；敷用
consumption,n. 消费；消耗；肺痨
observation,n. 观察；监视；观察报告
perspective,"n. 观点；远景；透视图
adj. 透视的"
recognition,n. 识别；承认，认出；重视；赞誉；公认
restriction,n. 限制；约束；束缚
transaction,n. 交易；事务；办理；会报，学报
distinction,n. 区别；差别；特性；荣誉、勋章
circumstance,n. 环境，情况；事件；境遇
distribution,n. 分布；分配
conservation,n. 保存，保持；保护
compensation,n. 补偿；报酬；赔偿金
intervention,n. 介入；调停；妨碍
neighborhood,n. 附近；街坊；接近；街区
consideration,n. 考虑；原因；关心；报酬
concentration,n. 浓度；集中；浓缩；专心；集合
discrimination,n. 歧视；区别，辨别；识别力
administration,n. 管理；行政；实施；行政机构
disappointment,n. 失望；沮丧
recommendation,n. 推荐；建议；推荐信
transportation,n. 运输；运输系统；运输工具；流放
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
sustain,vt. 维持；支撑，承担；忍受；供养；证实
indicate,vt. 表明；指出；预示；象征
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
motivate,vt. 刺激；使有动机；激发…的积极性
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
fulfil,vt. 履行；完成；实践；满足
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
interpret,"vi. 解释；翻译
vt. 说明；口译"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
cultivate,vt. 培养；陶冶；耕作
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
originate,"vt. 引起；创作
vi. 发源；发生；起航"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
discourage,vt. 阻止；使气馁
acknowledge,vt. 承认；答谢；报偿；告知已收到
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
ethical,"n. 处方药
adj. 伦理的；道德的；凭处方出售的"
intense,adj. 强烈的；紧张的；非常的；热情的
organic,adj.  有机的；组织的；器官的；根本的
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
literary,adj. 文学的；书面的；精通文学的
conscious,adj. 意识到的；故意的；神志清醒的
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
technical,adj. 工艺的，科技的；技术上的；专门的
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
democratic,adj. 民主的；民主政治的；大众的
innovative,adj. 革新的，创新的；新颖的；有创新精神的
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
biological,adj. 生物的；生物学的
charitable,adj. 慈善事业的；慷慨的，仁慈的；宽恕的
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
sustainable,adj. 可以忍受的；足可支撑的；养得起的；可持续的
competitive,adj. 竞争的；比赛的；求胜心切的
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
intelligent,adj. 智能的；聪明的；理解力强的
legislative,"adj. 立法的；有立法权的
n. 立法权；立法机构"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
psychological,adj. 心理的；心理学的；精神上的
typically,adv. 代表性地；作为特色地
apparently,adv. 显然地；似乎，表面上
personally,adv. 亲自地；当面；个别地；就自己而言
positively,adv. 肯定地；明确地；断然地；乐观地
auction,"n. 拍卖
vt. 拍卖；竞卖"
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
resident,"n. 居民；住院医生
adj. 居住的；定居的"
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
renewable,"n. 再生性能源
adj. 可再生的；可更新的；可继续的"
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
unconscious,adj. 无意识的；失去知觉的；不省人事的；未发觉的
conservative,
attribute,"n. 属性；特质
vt. 归属；把…归于"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
underestimate,"n. 低估
vt. 低估；看轻"
council,n. 委员会；会议；理事会；地方议会；顾问班子
millennial,adj. 一千年的；千禧年的
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
trillion,"num.  万亿
n.  万亿
adj. 万亿的"
via,prep. 渠道，通过；经由
alongside,"prep. 在……旁边
adv. 在旁边"
gum,"n. 口香糖；树胶；橡皮
vt. 用胶粘，涂以树胶；使…有粘性"
bay,"n. 海湾；狗吠声
vt. 向…吠叫
vi. 吠叫；大声叫嚷"
lawn,n. 草地；草坪
soul,"n. 灵魂；心灵；精神；鬼魂
adj. 美国黑人文化的"
bush,"n. 灌木；矮树丛
adj. 如灌木般长得低矮的；粗野的
vt. 以灌木装饰；使…精疲力竭
vi. 丛生；浓密地生长"
poet,n. 诗人
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实"
skin,"n. 皮肤；外皮
vt. 剥皮
vi. 愈合；长皮"
soil,"n. 土地；土壤；国家；粪便；务农；温床
vt. 弄脏；污辱
vi. 变脏"
bone,"n. 骨；骨骼
vt. 剔去...的骨；施骨肥于
vi. 苦学；专心致志"
cash,"n. 现款，现金
vt. 将…兑现；支付现款"
dirt,n. 污垢，泥土；灰尘，尘土；下流话
fate,"n. 命运
vt. 注定"
logo,n. 商标，徽标；标识语
nail,"vt. 钉；使固定；揭露
n.  指甲；钉子"
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
soap,"n. 肥皂
vt. 将肥皂涂在……上；对……拍马屁（俚语）
vi. 用肥皂擦洗"
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
owner,n.  所有者；物主
globe,"n. 地球；地球仪；球体
vt. 使…成球形
vi. 成球状"
route,"n. 路线；航线；通道
vt. 按某路线发送"
berry,"n. 浆果（葡萄，番茄等）
vi. 采集浆果"
couch,"vt. 使躺下；表达；弯下
vi. 蹲伏，埋伏；躺着
n. 睡椅，长沙发；床；卧榻"
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
mayor,n. 市长
ratio,n. 比率，比例
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
breath,n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
secret,"n. 秘密；秘诀；机密
adj. 秘密的；机密的"
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
clinic,n. 临床；诊所
heroin,n.  海洛因，吗啡
victim,n. 受害人；牺牲品；牺牲者
campus,n. （大学）校园；大学，大学生活；校园内的草地
client,n.  客户；顾客；委托人
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
ladder,"n. 阶梯；途径；梯状物
vi. 成名；发迹
vt. 在……上装设梯子"
marker,n. 记分员；书签；标识物；作记号的人
petrol,n. （英）汽油
rhythm,n. 节奏；韵律
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
suburb,n. 郊区；边缘
lawsuit,n. 诉讼（尤指非刑事案件）；诉讼案件
surname,"n. 姓，姓氏；绰号，别名
vt. 给…起别名；给…姓氏"
vaccine,"n. 疫苗；牛痘苗
adj. 疫苗的；牛痘的"
academy,n. 学院；研究院；学会；专科院校
adviser,n. 顾问；劝告者；指导教师（等于advisor）
artwork,n. 艺术品；插图；美术品
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
fiction,n. 小说；虚构，编造；谎言
laborer,n. 劳动者；工人
tobacco,n. 烟草，烟叶；烟草制品；抽烟
volcano,n. 火山
analyst,n. 分析者；精神分析医师；分解者
builder,n. 建筑者；建立者
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
cutting,"n.  切断；剪辑；开凿
v. 削减（cut的ing形式）；采伐；切开
adj. 锋利的；严寒的；尖酸刻薄的"
formula,n.  公式，准则；配方；婴儿食品
geology,n. 地质学；地质情况
grocery,"n. 食品杂货店
食品杂货"
pathway,n. 路，道；途径，路径
planner,n. 计划者，规划师
sadness,n. 悲哀
tourism,n. 旅游业；游览
urgency,n. 紧急；催促；紧急的事
accuracy,n.  精确度，准确性
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
cucumber,n. 黄瓜；胡瓜
disaster,n. 灾难，灾祸；不幸
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
patience,n. 耐性，耐心；忍耐，容忍
reliance,n. 信赖；信心；受信赖的人或物
survival,n. 幸存，残存；幸存者，残存物
wildlife,"n. 野生动植物
adj. 野生动植物的"
baseline,n. 基线；底线
currency,n. 货币；通货
earnings,n. 收入
elegance,n. 典雅；高雅
facility,n. 设施；设备；容易；灵巧
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
proposal,n. 提议，建议；求婚
provider,n. 供应者；养家者
slowdown,n. 减速；怠工；降低速度
violence,n. 暴力；侵犯；激烈；歪曲
commerce,n. 贸易；商业；商务
duration,"n. 持续，持续的时间，期间
音长，音延"
equality,n. 平等；相等； 等式
guidance,n. 指导，引导；领导
hardship,n. 困苦；苦难；艰难险阻
laughter,n. 笑；笑声
newcomer,n.  新来者；新到的移民
quantity,n. 量，数量；大量；总量
spelling,"n. 拼写；拼字；拼法
v. 拼写；意味着（spell的ing形式）；迷住"
traveler,n. 旅行者；旅客；旅行推销员（等于traveller）
cigarette,n. 香烟；纸烟
sightseer,n. 观光者；游客
adulthood,n. 成年；成人期
celebrity,n. 名人；名声
childhood,n. 童年时期；幼年时代
guideline,"n. 指导方针
参考"
nutrition,n. 营养，营养学；营养品
stability,n. 稳定性；坚定，恒心
wellbeing,n. 幸福；福利；安乐
