data,n. 数据（datum的复数）；资料
restrict,vt. 限制；约束；限定
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
acknowledge,vt. 承认；答谢；报偿；告知已收到
criticise,"vt. 批评；吹毛求疵；非难
vi. 批评；吹毛求疵；非难"
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
huge,adj. 巨大的；庞大的；无限的
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
tiny,adj. 微小的；很少的
loyal,"adj. 忠诚的，忠心的；忠贞的
n. 效忠的臣民；忠实信徒"
rapid,"n. 急流；高速交通工具，高速交通网
adj. 迅速的，急促的；飞快的；险峻的"
urban,adj. 城市的；住在都市的
cheap,"adj. 便宜的；小气的；不值钱的
adv. 便宜地"
risky,adj. 危险的；冒险的；（作品等）有伤风化的
entire,adj. 全部的，整个的；全体的
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
lawful,adj. 合法的；法定的；法律许可的
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
famous,adj. 著名的；极好的，非常令人满意的
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
stupid,"n. 傻瓜，笨蛋
adj. 愚蠢的；麻木的；乏味的"
harmful,adj. 有害的；能造成损害的
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
teenage,"n. 青少年时期
adj. 青少年的；十几岁的"
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
diverse,adj. 不同的；多种多样的；变化多的
Spanish,"n. 西班牙语；西班牙人
adj. 西班牙的；西班牙人的；西班牙语的"
careful,adj. 仔细的，小心的
factual,adj. 事实的；真实的
unusual,adj. 不寻常的；与众不同的；不平常的
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
careless,adj. 粗心的；无忧无虑的；淡漠的
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
handsome,adj. （男子）英俊的；可观的；大方的，慷慨的；健美而端庄的
humorous,adj. 诙谐的，幽默的；滑稽的，可笑的
lifelong,adj. 终身的
longtime,"adj. 长时间的；为时甚久的
adv. 长久地"
outdated,"adj. 过时的；旧式的
v. 使过时（outdate的过去式和过去分词）"
parental,adj. 父母亲的，父母的；亲代的，亲本的
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
expensive,adj. 昂贵的；花钱的
dangerous,"adj. 危险的
危险地"
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
electronic,"adj. 电子的
n. 电子电路；电子器件"
reasonable,adj. 合理的，公道的；通情达理的
widespread,adj. 普遍的，广泛的；分布广的
geological,adj. 地质的，地质学的
optimistic,adj. 乐观的；乐观主义的
sufficient,adj. 足够的；充分的
supportive,adj. 支持的；支援的；赞助的
unemployed,adj. 失业的；未被利用的
additional,adj. 附加的，额外的
worthwhile,adj. 值得做的，值得花时间的
statistical,adj. 统计的；统计学的
surrounding,"n. 环境，周围的事物
adj. 周围的，附近的"
conventional,adj. 符合习俗的，传统的；常见的；惯例的
hence,adv. 因此；今后
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
partly,adv. 部分地；在一定程度上
anyway,adv. 无论如何，不管怎样；总之
mostly,adv. 主要地；通常；多半地
rarely,adv. 很少地；难得；罕有地
merely,adv. 仅仅，只不过；只是
slowly,adv. 缓慢地，慢慢地
deeply,adv. 深刻地；浓浓地；在深处
openly,adv. 公开地；公然地；坦率地
exactly,adv. 恰好地；正是；精确地；正确地
greatly,adv. 很，大大地；非常
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
rapidly,adv. 迅速地；很快地；立即
broadly,adv. 明显地；宽广地；概括地；露骨地；粗鄙地
chiefly,adv. 主要地；首先
roughly,adv. 粗糙地；概略地
suddenly,adv. 突然地；忽然
globally,adv. 全球地；全局地；世界上
possibly,adv. 可能地；也许；大概
commonly,adv. 一般地；通常地；普通地
likewise,adv. 同样地；也
nowadays,"adv. 现今；时下
n. 当今"
elsewhere,adv. 在别处；到别处
obviously,"adv. 明显地
显然地"
certainly,adv. 当然；行（用于回答）；必定
currently,adv. 当前；一般地
extremely,adv. 非常，极其；极端地
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
primarily,adv. 首先；主要地，根本上
completely,adv. 完全地，彻底地；完整地
relatively,adv. 相当地；相对地，比较地
immediately,"conj. 一…就
adv. 立即，立刻；直接地"
unfortunately,adv. 不幸地
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
sex,"n. 性；性别；性行为；色情
vt. 引起…的性欲；区别…的性别"
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
bit,"n.  比特（二进位制信息单位）；少量；马嚼子；辅币；老一套；一点，一块
adj. 很小的；微不足道的
vt. 咬（bite的过去式和过去分词）
vt. 控制
adv. 有点儿；相当"
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
date,"n. 日期；约会；年代；枣椰子
vt. 确定…年代；和…约会
vi. 过时；注明日期；始于（某一历史时期）"
gift,"n. 礼物；天赋；赠品
vt. 赋予；向…赠送"
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
mode,n. 模式；方式；风格；时尚
path,n. 道路；小路；轨道
belt,"n. 带；腰带；地带
vt. 用带子系住；用皮带抽打
vi. 猛击"
camp,"n. 露营
vt. 扎营；使扎营
vi. 露营；扎营"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
lord,"n. 主；上帝
int. 主，天啊
vt. 使成贵族
vi. 作威作福，称王称霸"
soul,"n. 灵魂；心灵；精神；鬼魂
adj. 美国黑人文化的"
wood,"n. 木材；木制品；树林
vt. 植林于；给…添加木柴
vi. 收集木材"
error,n. 误差；错误；过失
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
ocean,n. 海洋；大量；广阔
piece,"n. 块；件；篇；硬币
vt. 修补；接合；凑合"
space,"n. 空间；太空；距离
vt. 隔开
vi. 留间隔"
voice,"n. 声音；嗓音；发言权；愿望
vt. 表达；吐露"
dozen,"n. 十二个，一打
adj. 一打的"
route,"n. 路线；航线；通道
vt. 按某路线发送"
scene,n. 场面；情景；景象；事件
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
faith,n. 信仰；信念；信任；忠实
danger,n. 危险；危险物，威胁
dollar,n. 美元
client,n.  客户；顾客；委托人
region,n. 地区；范围；部位
behalf,n. 代表；利益
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
manner,n. 方式；习惯；种类；规矩；风俗
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
extent,n. 程度；范围；长度
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
hunter,n. 猎人；猎犬；搜寻者
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
context,n. 环境；上下文；来龙去脉
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
officer,"n. 军官，警官；公务员，政府官员；船长
vt. 指挥"
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
citizen,n. 公民；市民；老百姓
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
version,n. 版本；译文；倒转术
element,n. 元素；要素；原理；成分；自然环境
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
railway,"n. （英）铁路；轨道；铁道部门
vi. 乘火车旅行"
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
biology,n. （一个地区全部的）生物；生物学
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
symptom,n.  症状；征兆
chairman,n. 主席，会长；董事长
reaction,n. 反应，感应；反动，复古；反作用
strength,n. 力量；力气；兵力；长处
addition,n. 添加； 加法；增加物
observer,n. 观察者； 观测者；遵守者
religion,n. 宗教；宗教信仰
creature,n. 动物，生物；人；创造物
reminder,n. 暗示；提醒的人/物；催单
sympathy,n. 同情；慰问；赞同
accident,n. 事故；意外； 意外事件；机遇
director,n. 主任，主管；导演；人事助理
operator,n. 经营者；操作员；话务员；行家
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐"
reviewer,n. 评论者，评论家
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
judgment,n. 判断；裁判；判决书；辨别力
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
recovery,n. 恢复，复原；痊愈；重获
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
invention,n. 发明；发明物；虚构；发明才能
secretary,n. 秘书；书记；部长；大臣
diversity,n. 多样性；差异
operation,n. 操作；经营； 手术； 运算
economics,n. 经济学；国家的经济状况
technique,n. 技巧，技术；手法
indicator,n. 指示器； 指示剂； 指示符；压力计
necessity,n. 需要；必然性；必需品
curiosity,n. 好奇，好奇心；珍品，古董，古玩
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
revolution,n. 革命；旋转；运行；循环
foundation,n. 基础；地基；基金会；根据；创立
psychology,n. 心理学；心理状态
atmosphere,n. 气氛；大气；空气
acceptance,n. 接纳；赞同；容忍
leadership,n. 领导能力；领导阶层
arrangement,n. 布置；整理；准备
construction,n. 建设；建筑物；解释；造句
contribution,n. 贡献；捐献；投稿
independence,n. 独立性，自立性；自主
introduction,n. 介绍；引进；采用；入门；传入
examination,n. 考试；检查；查问
exam,n. 考试；测验
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视"
kill,"vt. 杀死；扼杀；使终止；抵消
vi. 杀死
n. 杀戮；屠杀
adj. 致命的；致死的"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
warn,"vt. 警告，提醒；通知
vi. 发出警告，发出预告"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
enter,"n.  输入；回车
vt. 进入；开始；参加
vi. 参加，登场；进去"
adapt,"vi. 适应
vt. 使适应；改编"
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
knock,"vi. 敲；打；敲击
vt. 敲；打；敲击；批评
n. 敲；敲打；爆震声"
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
invite,"n. 邀请
vt. 邀请，招待；招致"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
arrive,vi. 到达；成功；达成；出生
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
enable,vt. 使能够，使成为可能；授予权利或方法
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
afford,vt. 给予，提供；买得起
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
repeat,"n. 重复；副本
vi. 重做；重复发生
vt. 重复；复制；背诵"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
belong,vi. 属于，应归入；居住；适宜；应被放置
defend,"vi. 保卫；防守
vt. 辩护；防护"
detect,vt. 察觉；发现；探测
acquire,vt. 获得；取得；学到；捕获
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
prepare,"vt. 准备；使适合；装备；起草
vi. 预备；做好思想准备"
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
compete,vi. 竞争；比赛；对抗
discuss,vt. 讨论；论述，辩论
exclude,vt. 排除；排斥；拒绝接纳；逐出
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
rebuild,"vt. 重建；改造，重新组装；复原
vi. 重建"
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
fulfil,vt. 履行；完成；实践；满足
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
correspond,vi. 符合，一致；相应；通信
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
ready,"n. 现款；预备好的状态
adj. 准备好；现成的；迅速的；情愿的；快要…的
vt. 使准备好
adv. 迅速地；预先"
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
smart,adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
simple,"n. 笨蛋；愚蠢的行为；出身低微者
adj. 简单的；单纯的；天真的"
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
strict,adj. 严格的；绝对的；精确的；详细的
costly,adj. 昂贵的；代价高的
guilty,adj. 有罪的；内疚的
actual,adj. 真实的，实际的；现行的，目前的
silent,"n. 无声电影
adj. 沉默的；寂静的；无记载的"
central,"n. 电话总机
adj. 中心的；主要的；中枢的"
healthy,adj. 健康的，健全的；有益于健康的
nervous,adj. 神经的；紧张不安的；强健有力的
typical,adj. 典型的；特有的；象征性的
western,"n. 西方人；西部片，西部小说
adj. 西方的，西部的；有西方特征的"
capable,adj. 能干的，能胜任的；有才华的
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
painful,adj. 痛苦的；疼痛的；令人不快的
friendly,"adj. 友好的；亲切的；支持的；融洽的，和睦的
adv. 友善地；温和地"
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
unlikely,"adj. 不太可能的；没希望的
adv. 未必"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
practical,adj. 实际的；实用性的
confident,adj. 自信的；确信的
biological,adj. 生物的；生物学的
acceptable,adj. 可接受的；合意的；可忍受的
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
attractive,adj. 吸引人的；有魅力的；引人注目的
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
intelligent,adj. 智能的；聪明的；理解力强的
sadly,adv. 悲哀地；悲痛地
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送"
equally,adv. 同样地；相等地，平等地；公平地
narrowly,adv. 仔细地；勉强地；狭窄地；严密地
strictly,adv. 严格地；完全地；确实地
strongly,adv. 强有力地；坚强地；激烈地；气味浓地
typically,adv. 代表性地；作为特色地
precisely,adv. 精确地；恰恰
seriously,adv. 认真地；严重地，严肃地
correctly,adv. 正确地；得体地
spy,"n. 间谍；密探
vt. 侦察；发现；暗中监视
vi. 侦察；当间谍"
map,"vt. 映射；计划；绘制地图；确定基因在染色体中的位置
n. 地图；示意图；染色体图
vi. 基因被安置"
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
chat,"n. 聊天；闲谈
vt. 与…搭讪；与…攀谈
vi. 聊天；闲谈"
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
heat,"n. 高温；压力；热度；热烈
vt. 使激动；把…加热"
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
joke,"n. 玩笑，笑话；笑柄
vt. 开…的玩笑
vi. 开玩笑"
pair,"n. 一对，一双，一副
vt. 把…组成一对"
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
seat,"n. 座位；所在地；职位
vt. 使…坐下；可容纳…的；使就职"
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
speed,"n. 速度，速率；迅速，快速；昌盛，繁荣
vt. 加快…的速度；使成功，使繁荣
vi. 超速，加速；加速，迅速前行；兴隆"
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
pride,"n. 自豪；骄傲；自尊心
vt. 使得意，以…自豪
vi. 自豪"
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
mistake,"n. 错误；误会；过失
vt. 弄错；误解
vi. 弄错；误解"
request,"n. 请求；需要
vt. 要求，请求"
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物"
secret,"n. 秘密；秘诀；机密
adj. 秘密的；机密的"
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
opening,"n. 开始；机会；通路；空缺的职位
adj. 开始的
v. 开放（open的ing形式）；打开；公开"
futurist,"n. 未来主义者；未来派画家
adj. 未来主义的"
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
silver,"n. 银；银器；银币；银质奖章；餐具；银灰色
adj. 银的；含银的；有银色光泽的；口才流利的；第二十五周年的婚姻
vt. 镀银；使有银色光泽
vi. 变成银色"
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
worst,"n. 最坏；最坏的时候
adj. 最差的，最坏的；最不利的；效能最低的
adv. 最坏地；最不利地"
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
unlike,"prep. 和…不同，不像
adj. 不同的，不相似的"
neither,"conj. 也不；既不
adv. 两个都不；既不……也不
adj. 两者都不的
pron. 两者都不"
guess,"n. 猜测；推测
vi. 猜；推测；猜中
vt. 猜测；认为；推测；猜中
n. 盖尔斯（美国服装品牌）"
dark,"n. 黑暗；夜；黄昏；模糊
adj. 黑暗的，深色的；模糊的；无知的；忧郁的"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
mix,"vt. 配制；混淆；使混和；使结交
vi. 参与；相混合；交往
n. 混合；混合物；混乱"
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
copy,"n. 副本；一册；摹仿
vt. 复制；复印；抄袭
vi. 复制；复印；抄袭"
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
smoke,"n. 烟；抽烟；无常的事物
vt. 吸烟；抽
vi. 冒烟，吸烟；抽烟；弥漫"
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
trail,"n. 小径；痕迹；尾部；踪迹；一串，一系列
vt. 追踪；拖；蔓延；落后于
vi. 飘出；蔓生；垂下；拖曳"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
couple,"n. 对；夫妇；数个
vt. 结合；连接；连合
vi. 结合；成婚"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
engineer,"n. 工程师；工兵；火车司机
vt. 设计；策划；精明地处理
vi. 设计；建造"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
construct,"n. 构想，概念
vt. 建造，构造；创立"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
centre,"n. 中心
adj. 中央的
vt. 集中；将…放在中央
vi. 以…为中心"
center,"n. 中心，中央；中锋；中心点
adj. 中央的，位在正中的
vt. 集中，使聚集在一点；定中心
vi. 居中，被置于中心"
rush,"n. 冲进；匆促；急流；灯心草
adj. 急需的
vt. 使冲；突袭；匆忙地做；飞跃
vi. 冲；奔；闯；赶紧；涌现"
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地"
