pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
generate,vt. 使形成；发生；生殖；产生物理反应
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
download,vt.  下载
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
cooperate,vi. 合作，配合；协力
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
criticise,"vt. 批评；吹毛求疵；非难
vi. 批评；吹毛求疵；非难"
investigate,v. 调查；研究
broad,"n. 宽阔部分
adj. 宽的，辽阔的；显著的；大概的
adv. 宽阔地"
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
eager,adj. 渴望的；热切的；热心的
inner,"n. 内部
adj. 内部的；内心的；精神的"
frank,"n. 免费邮寄特权
adj. 坦白的，直率的；老实的
vt. 免费邮寄"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
capable,adj. 能干的，能胜任的；有才华的
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
diverse,adj. 不同的；多种多样的；变化多的
intense,adj. 强烈的；紧张的；非常的；热情的
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
precious,adj. 宝贵的；珍贵的；矫揉造作的
available,adj. 可获得的；可购得的；可找到的；有空的
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
widespread,adj. 普遍的，广泛的；分布广的
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
intelligent,adj. 智能的；聪明的；理解力强的
conventional,adj. 符合习俗的，传统的；常见的；惯例的
enthusiastic,adj. 热情的；热心的；狂热的
thus,"conj. 因此
n. 乳香
adv. 因此；从而；这样；如此"
merely,adv. 仅仅，只不过；只是
moreover,adv. 而且；此外
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
elsewhere,adv. 在别处；到别处
obviously,"adv. 明显地
显然地"
eventually,adv. 最后，终于
apparently,adv. 显然地；似乎，表面上
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
indicate,vt. 表明；指出；预示；象征
responsible,adj. 负责的，可靠的；有责任的
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
web,"n. 网；卷筒纸；蹼；织物；圈套
vt. 用网缠住；使中圈套
vi. 形成网"
lip,"n. 嘴唇；边缘
vt. 以嘴唇碰
adj. 口头上的
vi. 用嘴唇"
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形"
status,n. 地位；状态；情形；重要身份
vessel,n. 船，舰； 脉管，血管；容器，器皿
deputy,"n. 代理人，代表
adj. 副的；代理的"
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
faculty,n. 科，系；能力；全体教员
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
feedback,n. 反馈；成果，资料；回复
illusion,n. 幻觉，错觉；错误的观念或信仰
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
commodity,n. 商品，货物；日用品
orchestra,n. 管弦乐队；乐队演奏处
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
enthusiasm,n. 热心，热忱，热情
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
masterpiece,n. 杰作；绝无仅有的人
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
alter,"vt. 改变，更改
vi. 改变；修改"
cater,vt. 投合，迎合；满足需要；提供饮食及服务
convey,vt. 传达；运输；让与
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
provoke,vt. 驱使；激怒；煽动；惹起
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
instruct,vt. 指导；通知；命令；教授
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
accomplish,vt. 完成；实现；达到
dumb,adj. 哑的，无说话能力的；不说话的，无声音的
vague,adj. 模糊的；含糊的；不明确的；暧昧的
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
outer,"adj. 外面的，外部的；远离中心的
n. 环外命中"
actual,adj. 真实的，实际的；现行的，目前的
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
fierce,adj. 凶猛的；猛烈的；暴躁的
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
pregnant,adj. 怀孕的；富有意义的
conscious,adj. 意识到的；故意的；神志清醒的
miserable,adj. 悲惨的；痛苦的；卑鄙的
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
alike,"adj. 相似的；相同的
adv. 以同样的方式；类似于"
partly,adv. 部分地；在一定程度上
thereby,adv. 从而，因此；在那附近；在那方面
besides,"prep. 除…之外
adv. 此外；而且"
cling,vi. 坚持，墨守；紧贴；附着
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
frown,"n. 皱眉，蹙额
vt. 皱眉，蹙额
vi. 皱眉；不同意"
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
hostage,n. 人质；抵押品
monopoly,n. 垄断；垄断者；专卖权
glamour,"n. 魅力，魔力；迷人的美
vt. 迷惑，迷住"
turnover,"n. 翻覆； 营业额；流通量；半圆卷饼；失误
adj. 翻过来的；可翻转的"
repertoire,n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
retrospect,"n. 回顾，追溯
vt. 回顾；追忆
vi. 回顾，追溯；回想"
prerequisite,"n. 先决条件
adj. 首要必备的"
incur,vt. 招致，引发；蒙受
cloak,"n. 斗蓬；宽大外衣；托词
vt. 遮掩；隐匿"
embody,vt. 体现，使具体化；具体表达
obsess,vt. 迷住，缠住；使…着迷；使…困扰
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
aspire,vi. 渴望；立志；追求
detach,vt. 分离；派遣；使超然
impair,vt. 损害；削弱；减少
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
soothe,"vt. 安慰；使平静；缓和
vi. 起抚慰作用"
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
suppress,vt. 抑制；镇压；废止
aggravate,vt. 加重；使恶化；激怒
alleviate,vt. 减轻，缓和
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
arrogant,adj. 自大的，傲慢的
ambiguous,adj. 模糊不清的；引起歧义的
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
hitherto,adv. 迄今；至今
e-mail,
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
inquiry,n. 探究；调查；质询
loyalty,n. 忠诚；忠心；忠实；忠于…感情
laughter,n. 笑；笑声
recovery,n. 恢复，复原；痊愈；重获
disgrace,"n. 耻辱；丢脸的人或事；失宠
vt. 使……失宠；给……丢脸；使……蒙受耻辱；贬黜"
curiosity,n. 好奇，好奇心；珍品，古董，古玩
conductor,n. 导体；售票员；领导者；管理人
limitation,n. 限制；限度；极限；追诉时效；有效期限；缺陷
succession,n. 连续；继位；继承权； 演替
philosopher,n. 哲学家；哲人
acquisition,n. 获得物，获得；收购
superiority,n. 优越，优势；优越性
abound,vi. 富于；充满
willing,"adj. 乐意的；自愿的；心甘情愿的
v. 决心；用意志力驱使；将（财产等）遗赠某人（will的现在分词）"
unlikely,"adj. 不太可能的；没希望的
adv. 未必"
cautious,adj. 谨慎的；十分小心的
muscular,adj. 肌肉的；肌肉发达的；强健的
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
confident,adj. 自信的；确信的
favorable,adj. 有利的；良好的；赞成的，赞许的；讨人喜欢的
erroneous,adj. 错误的；不正确的
attractive,adj. 吸引人的；有魅力的；引人注目的
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
thoughtful,adj. 深思的；体贴的；关切的
competitive,adj. 竞争的；比赛的；求胜心切的
simply,adv. 简单地；仅仅；简直；朴素地；坦白地
highly,adv. 高度地；非常；非常赞许地
rarely,adv. 很少地；难得；罕有地
largely,adv. 主要地；大部分；大量地
directly,"conj. 一…就
adv. 直接地；立即；马上；正好地；坦率地"
conversely,adv. 相反地
practically,adv. 实际地；几乎；事实上
increasingly,adv. 越来越多地；渐增地
consequently,adv. 因此；结果；所以
humanity,n. 人类；人道；仁慈；人文学科
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
air,"n. 空气，大气；天空；样子；曲调
vt. 使通风，晾干；夸耀
vi. 通风"
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
president,n. 总统；董事长；校长；主席
die,"n. 冲模，钢模；骰子
vi. 死亡；凋零；熄灭
vt. 死，死于…"
invite,"n. 邀请
vt. 邀请，招待；招致"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
faint,"n.  昏厥，昏倒
adj. 模糊的；头晕的；虚弱的； 衰弱的
vi. 昏倒；变得微弱；变得没气力"
effectively,adv. 有效地，生效地；有力地；实际上
date,"n. 日期；约会；年代；枣椰子
vt. 确定…年代；和…约会
vi. 过时；注明日期；始于（某一历史时期）"
cloud,"n. 云；阴云；云状物；一大群；黑斑
vt. 使混乱；以云遮敝；使忧郁；玷污
vi. 阴沉；乌云密布"
wrong,"n. 坏事；不公正
adj. 错误的；失常的；不适当的
vt. 委屈；无理地对待；诽谤
adv. 错误地；邪恶地，不正当地"
weekly,"n. 周刊
adj. 每周的；周刊的；一周一次的
adv. 每周一次；逐周"
canon,n. 标准；教规；正典圣经；教士
troupe,"n. 剧团；一班；一团
vi. 巡回演出"
procreation,n. 生殖；生产
poach,"vt. 水煮；偷猎；窃取；把…踏成泥浆
vi. 偷猎；侵犯；剽窃"
vibrant,adj. 振动的；充满生气的；响亮的；战栗的
knee-jerk,"n. 下意识，自动反应；膝反射
adj. 下意识的，自动反应的；膝反射的"
unpretentious,adj. 谦逊的；含蓄的；不炫耀的；不铺张的
hooray,"n. 万岁
vt. 呼万岁
int. 万岁
vi. 呼万岁"
haircut,n. 理发；发型
newsstand,n. 报摊；杂志摊
mom-to-be, 准妈妈；又配上这样的音乐顿
headhunter,n. 猎头者；物色人才的人；猎取人头的蛮人
BabyCenter,
marketplace,n. 市场；商场；市集
shareholder,n. 股东；股票持有人
concertgoer,n. 常去听音乐会者
stakeholder,n. 利益相关者；赌金保管者
social-news,
liberal-arts,n. 大学文科
social-media, 社会媒体；社群媒体；社会化媒体
kitten-killing,
thesis-writing,
classical-music,na. 古典音乐
in-depth,adj. 彻底的，深入的
baby-size,"adj. 很小的,小型的"
out-dated,(out-date 的过去分词) 过期；出单日期
short-term,adj. 短期的
day-to-day,adj. 日常的；逐日的
art-loving,爱好艺术的
past-tense,"n. 过去时态
 过去式；一般过去时；过去式动词"
sober-sided,"音节分段：so.ber-sid.ed; AHD音标：s?“b…r-so“d1d; 国际音标：6s*&b*6sa!d!d; 美国音标：6sob+6sa!d!d; Devoid of extreme qualities, such as exaggeration; sober.; 继承用法："
stand-alone,"n. 独立；单机
adj. 独立的；独立操作的"
stress-free,adj. 无压力的；无应力
internet-based, 以网络为基础的；网考；基于互联网
life-enriching, 延年益寿的；丰富多彩的生活
round-the-clock,adj. 全天的；全天候的；不分昼夜的；连续不停的
moment-to-moment, 即时即地；时刻；即时反馈
Madonna-and-child,
well-orchestrated,精心策划的
happiness-enhancing,
fourfold,"adj. 四倍的；四重的；四垒的
adv. 四倍；四重"
soul-crushingly,
user,"n. 用户
n. 使用者"
weaver,n. 织工；织布者
rearing,"n. 饲养；养育；抚养
v. 抚养；建立（rear的ing形式）；竖起"
sadness,n. 悲哀
chatter,"n. 唠叨；饶舌；（动物的）啁啾声；潺潺流水声
vt. 喋喋不休地说；使卡嗒卡嗒作声
vi. 唠叨；喋喋不休；（动物等）吱吱叫"
fitness,n. 健康；适当；适合性
retailer,n. 零售商；传播的人
provider,n. 供应者；养家者
teaching,"n. 教学；教义
v. 教学；教导（teach的ing形式）"
marketer,n.  市场商人；市场营销人员
producer,n. 制作人，制片人；生产者；发生器
listener,"n. 听众
倾听者"
activist,n. 积极分子；激进主义分子
happiness,n. 幸福
performer,n. 演出者；执行者；演奏者
enjoyment,n. 享受；乐趣；享有
self-help,"n. 自助；自救；自立
adj. 自助的"
initiator,n. 发起人，创始者；教导者； 启动程序；引爆器
recruiter,n. 招聘人员，征兵人员
aspiration,n. 渴望；抱负；送气；吸气；吸引术
allegation,n. 指控; 陈述，主张; 宣称; 陈词，陈述;
contention,n. 争论，争辩；争夺；论点
parenthood,n. 亲子关系；父母身份
biographer,n. 传记作者
insistence,n. 坚持，强调；坚决主张
inferiority,n. 自卑；下属；次等；下部
psychologist,n. 心理学家，心理学者
exploitation,n. 开发，开采；利用；广告推销；剥削
justification,n. 理由；辩护；认为有理，认为正当；释罪
professorship,n.  教授职位
dissatisfaction,n. 不满；令人不满的事物
instrumentalist,"n. 工具主义者；乐器演奏家
adj. 工具主义的"
rationalization,n. 合理化
upside,n. 优势，上面
e-commerce,n. 电子商务
announcement,n. 公告；宣告；发表；通告
pronouncement,n. 声明；宣告；公告；判决
specialisation,n. 特殊化，专门化，特化作用
dominance,n. 优势；统治；支配
popularity,n. 普及，流行；名气；受大众欢迎
separation,n. 分离，分开；间隔，距离； 分居；缺口
availability,n. 可用性；有效性；实用性
recommendation,n. 推荐；建议；推荐信
professionalism,n. 专业主义；专家的地位；特性或方法
professionalisation, 职业化；专业化过程；职业化阶段
gape,"n. 裂口，张嘴；呵欠
vi. 裂开，张开；打呵欠"
weaken,"vt. 减少；使变弱；使变淡
vi. 变弱；畏缩；变软弱"
dampen,"vt. 抑制；使…沮丧；使…潮湿
vi. 潮湿；丧气"
tighten,"vt. 变紧；使变紧
vi. 绷紧；变紧"
redefine,vt. 重新定义
leverage,"n. 手段，影响力；杠杆作用；杠杆效率
v. 利用；举债经营"
intensify,"vt. 使加强，使强化；使变激烈
vi. 增强，强化；变激烈"
stabilize,"vt. 使稳固，使安定
vi. 稳定，安定"
reorganize,"vt. 整理；改组；重新制定
vi. 整顿；改编"
revitalize,vt. 使…复活；使…复兴；使…恢复生气
scrutinize,"n. 仔细或彻底检查
vt. 详细检查；细看
vi. 细阅；作详细检查"
overestimate,"vt. 对……评价过高；对……估计过高
n. 估计过高；评价过高；出价过高
vi. 估计过高；评价过高"
professionalise,v. 使专业化；使职业化
bodily,"adj. 身体的；肉体的
adv. 整体地；亲自地；以肉体形式"
joyful,adj. 欢喜的；令人高兴的
unhappy,adj. 不快乐的；不幸福的；不适当的
devoted,"v. 献身于…；致力于…（devote的过去分词）
adj. 献身的；忠诚的"
sitting,"n. 入席，就坐；开庭；孵卵；坐着的一段时间
v. 坐；坐落（sit的ing形式）
adj. 坐着的；孵卵中的；在任期中的"
educated,"v. 训练；教导；培育（educate的过去分词形式）
adj. 受过教育的；有教养的"
doctoral,"n. 博士论文
adj. 博士的；博士学位的；有博士学位的"
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
talented,adj. 有才能的；多才的
adoptive,adj. 采用的；有收养关系的
strained,"v. 使紧张（动词strain的过去式和过去分词）
adj. 紧张的；勉强的；牵强附会的；滤过的"
sobering,"adj. 使清醒的；使冷静的；严重的
vt. 使清醒（sober的ing形式）"
emotional,adj. 情绪的；易激动的；感动人的
satisfied,"v. 使满意（satisfy的过去式）
adj. 感到满意的"
childless,adj. 无子女的
powerless,adj. 无力的； 无能力的，无权的
glamorous,adj. 迷人的，富有魅力的
impulsive,adj. 冲动的；受感情驱使的；任性的
renewable,"n. 再生性能源
adj. 可再生的；可更新的；可继续的"
supportive,adj. 支持的；支援的；赞助的
acceptable,adj. 可接受的；合意的；可忍受的
passionate,adj. 热情的；热烈的，激昂的；易怒的
accessible,adj. 易接近的；可进入的；可理解的
affordable,adj. 负担得起的
fulfilling,adj. 令人满意的；能实现个人抱负的；令人高兴的
misleading,"adj. 令人误解的；引入歧途的
v. 给…带错路；把…引入歧途（mislead的ing形式）"
measurable,adj. 可测量的；重要的；重大的
insightful,adj. 有深刻见解的，富有洞察力的
manageable,adj. 易管理的；易控制的；易办的
orchestral,adj. 管弦乐的；管弦乐队的
unconscious,adj. 无意识的；失去知觉的；不省人事的；未发觉的
respectable,"n. 可敬的人
adj. 值得尊敬的；人格高尚的；相当数量的"
provocative,"n. 刺激物，挑拨物；兴奋剂
adj. 刺激的，挑拨的；气人的"
unrealistic,adj. 不切实际的；不实在的
entertaining,"v. 款待（entertain的ing形式）
adj. 令人愉快的"
disappointed,adj. 失望的，沮丧的；受挫折的
subconscious,"n. 潜在意识；下意识心理活动
adj. 潜意识的；下意识的"
transferable,adj. 可转让的； 可转移的
compensatory,adj. 补偿的，赔偿的
exclusionary,adj. 排他的
technological,adj. 技术的；工艺的
psychological,adj. 心理的；心理学的；精神上的
complementary,adj. 补足的，补充的
self-centered,adj. 自我中心的；利己主义的
transmissible,adj. 能传送的；能透射的；可传达的
non-specialist,n. 非专门人员，非专家
unconventional,adj. 非常规的；非传统的；不依惯例的
newly,adv. 最近；重新；以新的方式
easily,adv. 容易地；无疑地
mainly,adv. 主要地，大体上
widely,adv. 广泛地
hugely,adv. 巨大地；非常地
clearly,adv. 清晰地；明显地；无疑地；明净地
quickly,adv. 迅速地；很快地
equally,adv. 同样地；相等地，平等地；公平地
markedly,adv. 明显地；显著地；引人注目地
correctly,adv. 正确地；得体地
similarly,adv. 同样地；类似于
partially,adv. 部分地；偏袒地
willingly,adv. 欣然地；愿意地，乐意地
completely,adv. 完全地，彻底地；完整地
relatively,adv. 相当地；相对地，比较地
constantly,adv. 不断地；时常地
originally,adv. 最初，起初；本来
crushingly,adv. 让人受不了地;过分地
skillfully,adv. 巧妙地；精巧地
continually,adv. 不断地；频繁地
conceivably,adv. 令人信服地；可相信地；想得到地
dangerously,adv. 危险地；不安全
sufficiently,adv. 充分地；足够地
surprisingly,adv. 惊人地；出人意料地
persistently,adv. 坚持地；固执地
fundamentally,adv. 根本地，从根本上；基础地
comparatively,adv. 比较地；相当地
unsurprisingly,adv. 不出所料的；不出奇的；意料中的
enthusiastically,adv. 热心地；满腔热情地
infancy,n. 初期；婴儿期；幼年
beside,prep. 在旁边；与…相比；和…无关
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部"
task,"n. 工作，作业；任务
vt. 分派任务"
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
classmate,n. 同班同学
communication,n. 通讯， 通信；交流；信函
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
page,"n. 页；记录；大事件，时期；男侍者
vt. 给…标页码
vi. 翻书页，浏览"
gate,"n. 大门；出入口；门道
vt. 给…装大门"
radio,"n. 收音机；无线电广播设备
vt. 用无线电发送
vi. 用无线电进行通信"
tower,"n. 塔；高楼；堡垒
vi. 高耸；超越"
player,n. 运动员，比赛者；游戏者，做游戏的人；演奏者，表演者；演员；播放器
Africa,n. 非洲
machine,"n. 机械，机器；机构；机械般工作的人
vt. 用机器制造"
theatre,n. 电影院，戏院；戏剧；阶梯式讲堂
grammar,n. 语法；语法书
physics,n. 物理学；物理现象
station,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎"
agreement,n. 协议；同意，一致
prize,"n. 奖品；奖赏；战利品
adj. 获奖的
vt. 珍视；捕获；估价"
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
safety,n. 安全；保险；安全设备；保险装置；安打
trouble,"n. 麻烦；烦恼；故障；动乱
vt. 麻烦；使烦恼；折磨
vi. 费心，烦恼"
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
discovery,n. 发现，发觉；被发现的事物
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
join,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点"
born,"v. 出世（bear的过去分词）
adj. 天生的"
shut,"n. 关闭
adj. 关闭的；围绕的
vi. 关上；停止营业
vt. 关闭；停业；幽禁"
carry,"n. 运载； 进位；射程
vi. 能达到；被携带；被搬运
vt. 拿，扛；携带；支持；搬运"
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
fight,"n. 打架；战斗，斗志
vi. 打架；与…打仗，与…斗争；反对…提案"
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
enter,"n.  输入；回车
vt. 进入；开始；参加
vi. 参加，登场；进去"
smoke,"n. 烟；抽烟；无常的事物
vt. 吸烟；抽
vi. 冒烟，吸烟；抽烟；弥漫"
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
