formerly,adv. 以前；原来
intently,adv. 专心地；一心一意地；心无旁骛地
smoothly,adv. 平稳地，平滑地；流畅地，流利地
typically,adv. 代表性地；作为特色地
privately,adv. 私下地；秘密地
perfectly,adv. 完美地；完全地；无瑕疵地
concisely,adv. 简明地，简洁地
prudently,adv. 谨慎地；慎重地
previously,adv. 以前；预先；仓促地
intimately,adv. 熟悉地；亲切地；私下地
originally,adv. 最初，起初；本来
adequately,adv. 充分地；足够地；适当地
genetically,adv. 从遗传学角度；从基因方面
politically,adv. 政治上
mercilessly,adv. 残忍地；毫无慈悲地
deliberately,adv. 故意地；谨慎地；慎重地
considerably,adv. 相当地；非常地
dramatically,"adv. 戏剧地；引人注目地
adv. 显著地，剧烈地"
indefinitely,adv. 不确定地，无限期地；模糊地，不明确地
biologically,adv. 生物学上，生物学地
subsequently,adv. 随后，其后；后来
significantly,adv. 显著地；相当数量地
unconsciously,adv. 不知不觉；无意识地
unaccountably,adv. 不能说明地；不可解释地；无责任的
disproportionately,adv. 不成比例地
freely,adv. 自由地；免费地；大量地；慷慨地；直率地
generally,adv. 通常；普遍地，一般地
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
lie,"vi. 躺；说谎；位于；展现
vt. 谎骗
n. 谎言；位置"
lab,n. 实验室，研究室
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
worth,"n. 价值；财产
adj. 值…的"
coast,"n. 海岸；滑坡
vt. 沿…岸航行
vi. 滑行；沿岸航行"
person,n. 人；身体；容貌，外表；人称
plenty,"n. 丰富，大量；充足
adj. 足够的，很多的
adv. 足够"
officer,"n. 军官，警官；公务员，政府官员；船长
vt. 指挥"
factory,n. 工厂；制造厂；代理店
building,"n. 建筑；建筑物
v. 建筑；建立；增加（build的ing形式）"
gentleman,n. 先生；绅士；有身份的人
pollution,"n. 污染
污染物"
difference,n. 差异；不同；争执
examination,n. 考试；检查；查问
step,"n. 步，脚步；步骤；步伐；梯级
vt. 走，迈步
vi. 踏，踩；走"
fill,"n. 满足；填满的量；装填物
vt. 装满，使充满；满足；堵塞；任职
vi. 被充满，膨胀"
burn,"n. 灼伤，烧伤；烙印
vt. 燃烧；烧毁，灼伤；激起…的愤怒
vi. 燃烧；烧毁；发热"
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出"
relax,"vi. 放松，休息；松懈，松弛；变从容；休养
vt. 放松；使休息；使松弛；缓和；使松懈"
touch,"n. 接触；触觉；格调；少许
vt. 接触；触动；使轻度受害
vi. 触摸；涉及；接近；提到"
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
journey,"n. 旅行；行程
vi. 旅行"
weak,adj.  疲软的；虚弱的；无力的；不牢固的
wise,"adj. 明智的；聪明的；博学的
vt. 使知道；教导
vi. 了解"
famous,adj. 著名的；极好的，非常令人满意的
British,"n. 英国人
adj. 英国的；英国人的；大不列颠的"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
careful,adj. 仔细的，小心的
chance,"n. 机会，际遇；运气，侥幸；可能性
vt. 偶然发生；冒……的险
vi. 碰巧；偶然被发现"
carry,"n. 运载； 进位；射程
vi. 能达到；被携带；被搬运
vt. 拿，扛；携带；支持；搬运"
bright,"n. 车头灯光
adj. 明亮的，鲜明的；聪明的；愉快的
adv. 明亮地；光明地；欢快地"
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
outside,"adj. 外面的，外部的；外来的
n. 外部；外观
adv. 在外面，向外面；在室外
prep. 在…范围之外"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
wisdom,n. 智慧，才智；明智；学识；至理名言
tailor,"n. 裁缝
vt. 剪裁；使合适
vi. 做裁缝"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
biology,n. （一个地区全部的）生物；生物学
servant,n. 仆人，佣人；公务员；雇工
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
audience,n. 观众；听众；读者；接见；正式会见；拜会
emphasis,n. 重点；强调；加强语气
patience,n. 耐性，耐心；忍耐，容忍
marriage,n. 结婚；婚姻生活；密切结合，合并
appetite,n. 食欲；嗜好
innovation,n. 创新，革新；新方法
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
philosophy,n. 哲学；哲理；人生观
commitment,n. 承诺，保证；委托；承担义务；献身
kit,"n. 工具箱；成套工具
vt. 装备
vi. 装备"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
dust,"n. 灰尘；尘埃；尘土
vt. 撒；拂去灰尘
vi. 拂去灰尘；化为粉末"
zone,  地带、地区（德语）
basis,n. 基础；底部；主要成分；基本原则或原理
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
output,"n. 输出，输出量；产量；出产
vt. 输出"
context,n. 环境；上下文；来龙去脉
episode,n. 插曲；一段情节；插话；有趣的事件
instance,"n. 实例；情况；建议
vt. 举...为例"
accident,n. 事故；意外； 意外事件；机遇
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
entrance,"n. 入口；进入
vt. 使出神，使入迷"
collection,n. 采集，聚集； 征收；收藏品；募捐
composition,n. 作文，作曲，作品； 构成；合成物；成分
circumstance,n. 环境，情况；事件；境遇
construction,n. 建设；建筑物；解释；造句
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
dozen,"n. 十二个，一打
adj. 一打的"
moment,n. 片刻，瞬间，时刻；重要，契机
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
addition,n. 添加； 加法；增加物
tendency,n. 倾向，趋势；癖好
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
performance,n. 性能；绩效；表演；执行；表现
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括"
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
emerge,vi. 浮现；摆脱；暴露
insist,"vi. 坚持，强调
vt. 坚持，强调"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
confirm,vt. 确认；确定；证实；批准；使巩固
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
motivate,vt. 刺激；使有动机；激发…的积极性
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
establish,"vi. 植物定植
vt. 建立；创办；安置"
false,"adj. 错误的；虚伪的；伪造的
adv. 欺诈地"
urgent,adj. 紧急的；急迫的
gifted,"adj. 有天赋的；有才华的
v. 给予（gift的过去分词）"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
literary,adj. 文学的；书面的；精通文学的
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
sufficient,adj. 足够的；充分的
incredible,adj. 难以置信的，惊人的
integrated,"adj. 综合的；完整的；互相协调的
v. 整合；使…成整体（integrate的过去分词）"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
conventional,adj. 符合习俗的，传统的；常见的；惯例的
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
thus,"conj. 因此
n. 乳香
adv. 因此；从而；这样；如此"
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
backward,"adj. 向后的；反向的；发展迟缓的
adv. 向后地；相反地"
gradually,adv. 逐步地；渐渐地
afterward,adv. 以后，后来
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
association,n. 协会，联盟，社团；联合；联想
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
broad,"n. 宽阔部分
adj. 宽的，辽阔的；显著的；大概的
adv. 宽阔地"
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
God,"n. 神；（大写首字母时）上帝
vt. 膜拜，崇拜"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
herd,"n. 兽群，畜群；放牧人
vt. 放牧；使成群
vi. 成群，聚在一起"
fate,"n. 命运
vt. 注定"
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
labor,"n. 劳动；工作；劳工；分娩
vi. 劳动；努力；苦干
vt. 详细分析；使厌烦"
Bible,
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
tuition,n. 学费；讲授
carrier,n.  载体；运送者；带菌者；货架
instinct,"n. 本能，直觉；天性
adj. 充满着的"
workforce,n. 劳动力；工人总数，职工总数
counterpart,n. 副本；配对物；极相似的人或物
comply,vi. 遵守；顺从，遵从；答应
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
derive,"vt. 源于；得自；获得
vi. 起源"
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
attribute,"n. 属性；特质
vt. 归属；把…归于"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
accomplish,vt. 完成；实现；达到
misunderstand,vt. 误解；误会
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
loyal,"adj. 忠诚的，忠心的；忠贞的
n. 效忠的臣民；忠实信徒"
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
evident,adj. 明显的；明白的
educated,"v. 训练；教导；培育（educate的过去分词形式）
adj. 受过教育的；有教养的"
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
immediate,adj. 立即的；直接的；最接近的
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
spontaneous,adj. 自发的；自然的；无意识的
alike,"adj. 相似的；相同的
adv. 以同样的方式；类似于"
upward,"adj. 向上的；上升的
adv. 向上"
undoubtedly,adv. 确实地，毋庸置疑的
lest,conj. 唯恐，以免；担心
besides,"prep. 除…之外
adv. 此外；而且"
dim,"n. 笨蛋，傻子
adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的
vt. 使暗淡，使失去光泽；使变模糊
vi. 变模糊，变暗淡"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
thrift,n. 节俭；节约； 海石竹
pottery,n. 陶器；陶器厂；陶器制造术
solidarity,n. 团结，团结一致
linguistics,n. 语言学
disposition,n. 处置； 性情； 部署；倾向
superstition,n. 迷信
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
obsess,vt. 迷住，缠住；使…着迷；使…困扰
unfold,"vi. 展开；显露
vt. 打开；呈现"
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
signify,"vt. 表示；意味；预示
vi. 有重要性；要紧；冒充内行"
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
emigrate,"vi. 移居；移居外国
vt. 移民"
downgrade,"n. 退步；下坡
vt. 使降级（过去式downgraded，过去分词downgraded，现在分词downgrading，第三人称单数downgrades）；小看
adj. 下坡的
adv. 下坡地"
inherent,adj. 固有的；内在的；与生俱来的，遗传的
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
indefinite,adj. 不确定的；无限的；模糊的
owner,n.  所有者；物主
critic,n. 批评家，评论家；爱挑剔的人
poverty,n. 贫困；困难；缺少；低劣
survival,n. 幸存，残存；幸存者，残存物
accuracy,n.  精确度，准确性
assembly,n. 装配；集会，集合
evolution,n. 演变；进化论；进展
ownership,n. 所有权；物主身份
curiosity,n. 好奇，好奇心；珍品，古董，古玩
formation,n. 形成；构造；编队
confusion,n. 混淆，混乱；困惑
precision,"n. 精度， 精密度；精确
adj. 精密的，精确的"
production,n. 成果；产品；生产；作品
perfection,n. 完善；完美
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
peaceful,adj. 和平的，爱好和平的；平静的
decisive,adj. 决定性的；果断的，坚定的
excessive,adj. 过多的，极度的；过分的
fortunate,adj. 幸运的；侥幸的；吉祥的；带来幸运的
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
historical,adj. 历史的；史学的；基于史实的
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
competitive,adj. 竞争的；比赛的；求胜心切的
wholly,adv. 完全地；全部；统统
path,n. 道路；小路；轨道
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
pursuit,n. 追赶，追求；职业，工作
dealing,n. 交易；行为
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
promotion,n. 提升， 晋升；推销，促销；促进；发扬，振兴
initiation,n. 启蒙，传授；开始；入会
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
fight,"n. 打架；战斗，斗志
vi. 打架；与…打仗，与…斗争；反对…提案"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
alone,"adj. 独自的；单独的；孤独的
adv. 独自地；单独地"
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
meanwhile,"adv. 同时，其间
n. 其间，其时"
apparently,adv. 显然地；似乎，表面上
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
lump,"n. 块，块状；肿块；瘤；很多；笨人
vt. 混在一起；使成块状；忍耐；笨重地移动
vi. 结块
adj. 成团的；总共的
adv. 很；非常"
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
rut,"n. 发情期；惯例；性冲动；凹槽
vt. 挖槽于；在…形成车辙
vi. 发情"
sermon,"n. 布道；训诫；启示；冗长的讲话
vt. 对…布道；对…说教
vi. 布道"
saliva,n. 唾液；涎
lineage,n. 血统；家系， 世系
anatomy,n. 解剖；解剖学；剖析；骨骼
chromosome,n.  染色体（形容词chromosomal，副词chromosomally）
metallurgy,n. 冶金；冶金学；冶金术
virtuosity,n. 精湛技巧；对艺术品的爱好；艺术爱好者
genealogist,n. 系谱学者；系谱专家
anthropology,"n. 人类学
人类学家"
industriousness,n. 勤勉，勤奋
swab,"n. 药签， 拭子；医用海绵，纱布；拖把，擦帚；无赖
vt. 打扫，擦拭；涂抹（药）于"
deride,vt. 嘲笑；嘲弄
gratify,vt. 使满足；使满意，使高兴
instill,vt. 徐徐滴入；逐渐灌输
Puritan,
wistful,adj. 渴望的；沉思的，默想的；引起怀念的；不满足似的
paternal,adj. 父亲的；得自父亲的；父亲般的
mitochondrial,adj. 线粒体的
upkeep,n. 维持；维修费；保养
pathway,n. 路，道；途径，路径
headway,n. 前进；进步；航行速度；间隔时间
workplace,n. 工作场所；车间
bloodline,n. 血统；种系
clergyman,n. 牧师；教士
craftsman,n. 工匠；手艺人；技工
drugstore,n.  药房（常兼售化妆品、杂志等杂货）；（美）杂货店
fruit-fly,果蝇
auto-pilot, 自动舵
great-grandparent,n. 曾祖父或曾祖母；外曾祖父或外曾祖母
great-great-grandparent, 伟大的祖父母
German-born,
high-priced,adj. 高价的；昂贵的
small-scale,adj. 小规模的
best-practice,"最佳实务, 最佳实践；最佳做法, 最优方法；典范做法"
ever-changing,adj. 千变万化的；常变的
groundbreaking,"n. 动工
adj. 开创性的"
over-the-counter,adj. 不通过交易所而直接售给顾客的；不需处方可以出售的
seventeenth-century, 十七世纪
automotive-assembly,
non-English-speaking,
I.Q.-wise,
hunter,n. 猎人；猎犬；搜寻者
settler,n. 移居者；殖民者
kinship,n.  亲属关系，家属关系；亲密关系
thinker,n. 思想家；思想者
decider,n. 决定者，裁决者；决胜局
teaching,"n. 教学；教义
v. 教学；教导（teach的ing形式）"
observer,n. 观察者； 观测者；遵守者
adoption,n. 采用；收养；接受
ancestry,n. 祖先；血统
civility,n. 礼貌；礼仪；端庄
gatherer,n. 采集者，收集器
economist,n. 经济学者；节俭的人
supporter,n. 支持者；拥护者
Englander,
paternity,n. 父权；父系；父系后裔
evaluation,n. 评价； 评估；估价；求值
commonness,n. 共性；平凡
excellence,n. 优秀；美德；长处
naturalist,"n. 自然主义者；博物学者；（英）动物标本剥制者；买卖玩赏动物的商人
adj. 自然的（等于naturalistic）；自然主义的；博物学的"
fascination,n. 魅力；魔力；入迷
sociologist,n. 社会学家
adolescence,n. 青春期
earnestness,n. 认真；诚挚；正经
enslavement,n. 奴役
decisiveness,n. 果断
diffusionism, 弥漫说
diffusionist,n. 传流论者，（文化）传播论者
faithfulness,n. 忠诚；诚实；正确
particularism,n. 特殊神宠论；完全忠于一种理论
particularist,n. 同上主义者
earnings,n. 收入
by-product,n. 副产品；附带产生的结果；意外收获
preoccupation,n. 全神贯注，入神；当务之急；关注的事物；抢先占据；成见
complexity,n. 复杂，复杂性；复杂错综的事物
perpetuity,n. 永恒
uniqueness,n. 独特性；独一无二；单值性
flexibility,n. 灵活性；弹性；适应性
innovativeness,n. 创新性，创新精神
rebuild,"vt. 重建；改造，重新组装；复原
vi. 重建"
overrule,vt. 否决；统治；对…施加影响
perpetuate,"vt. 使不朽；保持
adj. 长存的"
overestimate,"vt. 对……评价过高；对……估计过高
n. 估计过高；评价过高；出价过高
vi. 估计过高；评价过高"
sexual,adj. 性的；性别的；有性的
magical,adj. 魔术的；有魔力的
adopted,"v. 采用；接受（adopt的过去式和过去分词）
adj. 被收养的；被采用的"
Mexican,"adj. 墨西哥的；墨西哥人的
n. 墨西哥人；墨西哥语"
operant,"adj. 操作的；有效的
n. 自发反应；操作性制约；发生作用之人或物"
unclean,adj. 不纯洁的；行为不检的
worldly,"adj. 世俗的；世间的；尘世的
adv. 世俗地；世故地"
adaptive,adj. 适应的，适合的
fatherly,adj. 父亲的；父亲般的；慈爱的
illusory,adj. 错觉的；幻影的；虚假的；产生幻觉的
directive,"n. 指示；指令
adj. 指导的；管理的"
organized,"adj. 有组织的；安排有秩序的；做事有条理的
v. 组织（organize的过去分词）"
passionate,adj. 热情的；热烈的，激昂的；易怒的
inadequate,adj. 不充分的，不适当的
innovative,adj. 革新的，创新的；新颖的；有创新精神的
automotive,adj. 汽车的；自动的
geographic,adj. 地理的；地理学的
groundless,adj. 无理由的
changeable,adj. 无常的；可改变的；易变的；不定的
incidental,"n. 附带事件；偶然事件；杂项
adj. 附带的；偶然的；容易发生的"
pre-bubble, 泡沫前
foreseeable,adj. 可预知的；能预测的
distinctive,adj. 有特色的，与众不同的
paradoxical,adj. 矛盾的；诡论的；似非而是的
theological,adj. 神学的，神学上的
undeveloped,adj. 未开发的；不发达的；未充分发育的
disorganized,adj. 紊乱的；无组织的
inconclusive,adj. 不确定的；非决定性的；无结果的
innovational,"a. 革新的, 富有革新精神的"
unchangeable,adj. 不变的；不能改变的；安定的
unreflecting,adj. 不反射的; 不反省的; 无思虑的; 浅薄的
collaborative,adj. 合作的，协作的
superstitious,adj. 迷信的；由迷信引起的
intellectualized,"adj. 智能化的
v. 使有理智；对…作纯理性的探究（intellectualize的过去分词）"
poorly,"adj. 身体不舒服的；心情恶劣的
adv. 贫穷地；贫乏地；不充分地"
formally,adv. 正式地；形式上
normally,adv. 正常地；通常地，一般地
radically,adv. 根本上；彻底地；以激进的方式
virtually,adv. 事实上，几乎；实质上
inherently,adv. 内在地；固有地；天性地
thoroughly,adv. 彻底地，完全地
ironically,adv. 讽刺地；说反话地
implicitly,adv. 含蓄地；暗中地
mindlessly,adv. 不费心思地；愚蠢地
consciously,adv. 自觉地；有意识地
extensively,adv. 广阔地；广大地
incorrectly,adv. 错误地；不适当地
consistently,adv. 一贯地；一致地；坚实地
deliberately,adv. 故意地；谨慎地；慎重地
procedurally,程序上地
analytically,adv. 分析地；解析地
innovatively,adv. 创新地
relationally,adv. relational（有关系的；有联系的，相关的）的变形
substantially,adv. 实质上；大体上；充分地
comparatively,adv. 比较地；相当地
distinctively,adv. 特殊地；区别地
systematically,adv. 有系统地；有组织地
conventionally,adv. 照惯例，照常套
collaboratively,adv. 合作地；协作地
spring,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开"
cousin,n. 堂兄弟姊妹；表兄弟姊妹
breakfast,"n. 早餐；早饭
vt. 为…供应早餐
vi. 吃早餐"
dirty,"adj. 下流的，卑鄙的；肮脏的；恶劣的；暗淡的
vt. 弄脏
vi. 变脏"
clever,"adj. 聪明的；机灵的；熟练的
"
beside,prep. 在旁边；与…相比；和…无关
war,"n. 战争，斗争；军事，战术；冲突，对抗，竞争
vi. 打仗，作战；对抗"
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
tooth,"n. 牙齿
vt. 给……装齿
vi. 啮合"
pilot,"n. 飞行员；领航员
adj. 试点的
v. 驾驶；领航；试用"
member,n. 成员；会员；议员
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
artist,n. 艺术家；美术家（尤指画家）；大师
London,n. 伦敦
Britain,n. 英国；不列颠
husband,"n. 丈夫
vt. 节约地使用（或管理）"
victory,n. 胜利；成功；克服
silence,"n. 沉默；寂静；缄默；不谈；无声状态
vt. 使沉默；使安静；压制；消除噪音
int. 安静！；别作声！"
Japanese,"n. 日本人；日语
adj. 日本（人）的；日语的"
director,n. 主任，主管；导演；人事助理
Australia,n. 澳大利亚，澳洲
agreement,n. 协议；同意，一致
passenger,n. 旅客；乘客；过路人；碍手碍脚的人
conversation,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
introduction,n. 介绍；引进；采用；入门；传入
communication,n. 通讯， 通信；交流；信函
air,"n. 空气，大气；天空；样子；曲调
vt. 使通风，晾干；夸耀
vi. 通风"
meal,"n. 一餐，一顿饭；膳食
vi. 进餐"
mile,n. 英里；一英里赛跑；较大的距离
piece,"n. 块；件；篇；硬币
vt. 修补；接合；凑合"
chance,"n. 机会，际遇；运气，侥幸；可能性
vt. 偶然发生；冒……的险
vi. 碰巧；偶然被发现"
dollar,n. 美元
wealth,n. 财富；大量；富有
bottom,"n. 底部；末端；臀部；尽头
adj. 底部的
vt. 装底；测量深浅；查明真相
vi. 到达底部；建立基础"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
